# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   4.0.0      # Version number
#           PDG          Width
DECAY        25     2.36312256E-03   # Lightest neutral Higgs scalar
     5.36799323E-03    2          21        21   # BR(H_1 -> gluon gluon)
     3.21342877E-04    2          13       -13   # BR(H_1 -> muon muon)
     9.07193106E-02    2          15       -15   # BR(H_1 -> tau tau)
     6.96515195E-04    2           3        -3   # BR(H_1 -> s sbar)
     4.76309744E-03    2           4        -4   # BR(H_1 -> c cbar)
     8.96579544E-01    2           5        -5   # BR(H_1 -> b bbar)
     1.32945552E-03    2          24       -24   # BR(H_1 -> W+ W-)
     1.19796971E-05    2          23        23   # BR(H_1 -> Z Z)
     2.02934470E-04    2          22        22   # BR(H_1 -> gamma gamma)
     7.82674494E-06    2          23        22   # BR(H_1 -> Z gamma)
DECAY        35     2.10476868E-03   # 2nd neutral Higgs scalar
     8.65415737E-02    2          21        21   # BR(H_2 -> gluon gluon)
     1.89897947E-04    2          13       -13   # BR(H_2 -> muon muon)
     5.36464307E-02    2          15       -15   # BR(H_2 -> tau tau)
     4.05100218E-04    2           3        -3   # BR(H_2 -> s sbar)
     4.67997478E-02    2           4        -4   # BR(H_2 -> c cbar)
     5.18875356E-01    2           5        -5   # BR(H_2 -> b bbar)
     2.59361172E-01    2          24       -24   # BR(H_2 -> W+ W-)
     2.75745216E-02    2          23        23   # BR(H_2 -> Z Z)
     4.25280420E-03    2          22        22   # BR(H_2 -> gamma gamma)
     2.35339623E-03    2          23        22   # BR(H_2 -> Z gamma)
DECAY        45     1.15603943E+00   # 3rd neutral Higgs scalar
     1.08710813E-03    2          21        21   # BR(H_3 -> gluon gluon)
     1.10109676E-05    2          13       -13   # BR(H_3 -> muon muon)
     3.11389032E-03    2          15       -15   # BR(H_3 -> tau tau)
     1.89360457E-05    2           3        -3   # BR(H_3 -> s sbar)
     1.95263064E-04    2           4        -4   # BR(H_3 -> c cbar)
     2.47645060E-02    2           5        -5   # BR(H_3 -> b bbar)
     4.61172035E-03    2          24       -24   # BR(H_3 -> W+ W-)
     2.08951659E-03    2          23        23   # BR(H_3 -> Z Z)
     9.36859056E-06    2          22        22   # BR(H_3 -> gamma gamma)
