# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   4.0.0      # Version number
#           PDG          Width
DECAY        25     4.69490515E-03   # Lightest neutral Higgs scalar
     2.52609338E-02    2          21        21   # BR(H_1 -> gluon gluon)
     2.95884143E-04    2          13       -13   # BR(H_1 -> muon muon)
     8.35802553E-02    2          15       -15   # BR(H_1 -> tau tau)
     6.23121072E-04    2           3        -3   # BR(H_1 -> s sbar)
     1.49366569E-02    2           4        -4   # BR(H_1 -> c cbar)
     7.98756152E-01    2           5        -5   # BR(H_1 -> b bbar)
     6.84871577E-02    2          24       -24   # BR(H_1 -> W+ W-)
     6.28976656E-03    2          23        23   # BR(H_1 -> Z Z)
     1.18780191E-03    2          22        22   # BR(H_1 -> gamma gamma)
     5.82270710E-04    2          23        22   # BR(H_1 -> Z gamma)
DECAY        35     3.66799086E-04   # 2nd neutral Higgs scalar
     2.43124215E-01    2          21        21   # BR(H_2 -> gluon gluon)
     2.83208079E-05    2          13       -13   # BR(H_2 -> muon muon)
     8.00076648E-03    2          15       -15   # BR(H_2 -> tau tau)
     4.95426270E-05    2           3        -3   # BR(H_2 -> s sbar)
     1.16126764E-01    2           4        -4   # BR(H_2 -> c cbar)
     9.77637649E-02    2           5        -5   # BR(H_2 -> b bbar)
     4.68866312E-01    2          24       -24   # BR(H_2 -> W+ W-)
     5.07465075E-02    2          23        23   # BR(H_2 -> Z Z)
     1.01921796E-02    2          22        22   # BR(H_2 -> gamma gamma)
     5.10162610E-03    2          23        22   # BR(H_2 -> Z gamma)
DECAY        45     7.25388136E-01   # 3rd neutral Higgs scalar
     1.33847001E-03    2          21        21   # BR(H_3 -> gluon gluon)
     1.43160238E-05    2          13       -13   # BR(H_3 -> muon muon)
     4.04844073E-03    2          15       -15   # BR(H_3 -> tau tau)
     2.49207201E-05    2           3        -3   # BR(H_3 -> s sbar)
     2.50256095E-04    2           4        -4   # BR(H_3 -> c cbar)
     3.24994024E-02    2           5        -5   # BR(H_3 -> b bbar)
     4.96173087E-03    2          24       -24   # BR(H_3 -> W+ W-)
     2.21529705E-03    2          23        23   # BR(H_3 -> Z Z)
     1.52104694E-05    2          22        22   # BR(H_3 -> gamma gamma)
     6.68632716E-06    2          23        22   # BR(H_3 -> Z gamma)
     8.36271875E-02    2          25        25   # BR(H_3 -> H_1 H_1)
     4.05772574E-02    2          25        35   # BR(H_3 -> H_1 H_2)
     2.32036669E-01    2          35        35   # BR(H_3 -> H_2 H_2)
     9.54019793E-04    2          36        36   # BR(H_3 -> A_1 A_1)
     4.33951710E-02    2          23        36   # BR(H_3 -> A_1 Z)
     6.07118777E-02    2     1000022   1000022   # BR(H_3 -> neu_1 neu_1)
     3.33136401E-02    2     1000022   1000023   # BR(H_3 -> neu_1 neu_2)
     2.26648326E-01    2     1000022   1000025   # BR(H_3 -> neu_1 neu_3)
     2.33361120E-01    2     1000024  -1000024   # BR(H_3 -> cha_1 cha_1bar)
DECAY        36     1.43892730E-04   # Lightest pseudoscalar
     4.78267213E-03    2          21        21   # BR(A_1 -> gluon gluon)
     3.32303618E-04    2          13       -13   # BR(A_1 -> muon muon)
     9.39512266E-02    2          15       -15   # BR(A_1 -> tau tau)
     6.91962030E-04    2           3        -3   # BR(A_1 -> s sbar)
     1.83790539E-03    2           4        -4   # BR(A_1 -> c cbar)
     8.92978124E-01    2           5        -5   # BR(A_1 -> b bbar)
     4.86366867E-03    2          22        22   # BR(A_1 -> gamma gamma)
     5.62137201E-04    2          23        22   # BR(A_1 -> Z gamma)
DECAY        46     1.32217221E+00   # 2nd pseudoscalar
     1.33469847E-03    2          21        21   # BR(A_2 -> gluon gluon)
     8.44130728E-06    2          13       -13   # BR(A_2 -> muon muon)
     2.38743534E-03    2          15       -15   # BR(A_2 -> tau tau)
     1.49816441E-05    2           3        -3   # BR(A_2 -> s sbar)
     2.28125391E-04    2           4        -4   # BR(A_2 -> c cbar)
     1.94415700E-02    2           5        -5   # BR(A_2 -> b bbar)
     1.42625565E-05    2          22        22   # BR(A_2 -> gamma gamma)
     5.97913535E-06    2          23        22   # BR(A_2 -> Z gamma)
     2.81915224E-03    2          36        25   # BR(A_2 -> A_1 H_1)
     1.35284834E-01    2          36        35   # BR(A_2 -> A_1 H_2)
     5.69191095E-02    2          23        25   # BR(A_2 -> Z H_1)
     1.24179285E-01    2          23        35   # BR(A_2 -> Z H_2)
     4.18352251E-01    2     1000022   1000022   # BR(A_2 -> neu_1 neu_1)
     2.93281373E-03    2     1000022   1000023   # BR(A_2 -> neu_1 neu_2)
     2.83561074E-02    2     1000022   1000025   # BR(A_2 -> neu_1 neu_3)
     2.07720954E-01    2     1000024  -1000024   # BR(A_2 -> cha_1 cha_1bar)
DECAY        37     1.74723147E+00   # Charged Higgs
     6.28866650E-06    2         -13        14   # BR(H+ -> muon nu_muon)
     1.77860202E-03    2         -15        16   # BR(H+ -> tau nu_tau)
     5.28020311E-07    2           2        -3   # BR(H+ -> u sbar)
     2.82076344E-05    2           4        -3   # BR(H+ -> c sbar)
     2.24229387E-07    2           2        -5   # BR(H+ -> u bbar)
     2.24619062E-05    2           4        -5   # BR(H+ -> c bbar)
     7.37654294E-01    2           6        -5   # BR(H+ -> t bbar)
     4.30031347E-02    2          24        25   # BR(H+ -> W+ H_1)
     9.39875205E-02    2          24        35   # BR(H+ -> W+ H_2)
     1.56065206E-02    2          24        36   # BR(H+ -> W+ A_1)
     9.87647979E-02    2     1000024   1000022   # BR(H+ -> cha_1 neu_1)
     9.14741971E-03    2     1000024   1000023   # BR(H+ -> cha_1 neu_2)
DECAY         6     1.37643184E+00   # Top Quark
     1.00000000E+00    2           5        24   # BR(t ->  b    W+)
